level_0,Time,Year,Week,Month,Rate,Average temperature,Minimum temperature,Maximum temperature,Rainfall,Minimum humidity,Relative humidity,Day length,Duration of sunshine,Soil temperature at 3m,Soil temperature at 5m,Number of Daycare center,Population of Daycare center,outbreak,warning,peak,warning3,warning2,season,Last norovirus detection late,th
24,213,2009,1,1,0.254237288,-2.836936937,-8.133783784,3.728828829,0.070614035,31.00900901,55.98738739,9.764035088,8.02027027,15.66333333,17.33,35550,1175049,1,1,0,1,1,3,0.264705882,0.1
25,214,2009,2,1,0.242718447,-1.442445641,-6.129678927,4.415235724,0.063533835,30.41236537,55.50017273,9.82972973,6.045752896,15.24857143,17.18,35550,1175049,1,1,0,1,1,3,0.254237288,0.1
26,215,2009,3,1,0.209090909,-3.629964912,-8.65112782,1.834398496,0.220864662,35.09210526,57.39934336,9.954511278,6.398308271,14.66857143,16.98285714,35550,1175049,1,1,0,1,1,3,0.242718447,0.1
27,216,2009,4,1,0.203125,0.010902256,-4.788533835,5.876503759,0.796052632,36.27819549,60.88308271,10.11541353,4.014473684,14.21142857,16.73571429,35550,1175049,1,1,0,1,1,3,0.209090909,0.1
28,217,2009,5,1,0.134751773,0.651298246,-4.672556391,6.612406015,0.759210526,39.33458647,65.68673684,10.30469925,4.936842105,13.71428571,16.56571429,35550,1175049,1,1,0,1,1,3,0.203125,0.1
29,218,2009,6,2,0.185758514,4.52612782,-0.456203008,10.62161654,0.158646617,44.08082707,72.30018797,10.51785714,4.55093985,13.32428571,16.25285714,35550,1175049,1,1,0,1,1,3,0.134751773,0.1
30,219,2009,7,2,0.129151292,6.552631579,1.053007519,12.36804511,2.560526316,38.40977444,66.26691729,10.75075188,4.244736842,12.97428571,16.07,35550,1175049,1,1,0,1,1,3,0.185758514,0.1
31,220,2009,8,2,0.11038961,-0.456766917,-5.082518797,4.470676692,0.817293233,27.08834586,51.92725564,10.9981203,6.126503759,12.59571429,15.80428571,35550,1175049,1,1,0,1,1,3,0.129151292,0.1
32,221,2009,9,2,0.102040816,5.214694236,0.329511278,10.37744361,2.032142857,37.40977444,63.72585213,11.25357143,3.859962406,12.38857143,15.55428571,35550,1175049,1,1,0,0,1,3,0.11038961,0.1
33,222,2009,10,3,0.107142857,3.908834586,-1.101315789,9.097368421,1.776315789,36.7575188,63.39191729,11.51578947,5.416541353,12.21285714,15.35142857,35550,1175049,1,1,0,0,0,3,0.102040816,0.1
34,223,2009,11,3,0.085501859,5.394548872,-0.516353383,11.8825188,2.581578947,22.80263158,50.0325188,11.78665414,6.670112782,12,15.15,35550,1175049,0,1,0,0,0,3,0.107142857,0.1
35,224,2009,12,3,0.11746988,12.07894737,5.231015038,18.54736842,1.622932331,38.46240602,64.41860902,12.05469925,6.012781955,11.94428571,14.97571429,35550,1175049,1,1,0,0,0,3,0.085501859,0.1
36,225,2009,13,3,0.065616798,5.80726817,0.684398496,11.26860902,1.491729323,27.62781955,52.78820551,12.31992481,7.609398496,11.76714286,14.79857143,35550,1175049,0,1,0,-1,-1,3,0.11746988,0.1
37,226,2009,14,3,0.06043956,7.288909774,2.407706767,12.85845865,0.477067669,30.65413534,56.03703008,12.59229323,6.113909774,11.86,14.65,35550,1175049,0,1,0,-1,-1,3,0.065616798,0.1
38,227,2009,15,4,0.045714286,13.71804511,5.334962406,22.63195489,0,19.22932331,48.47631579,12.85507519,10.63327068,11.95766234,14.50207792,35550,1175049,0,0,0,-1,-1,3,0.06043956,0.1
39,228,2009,16,4,0.080729167,13.34548872,6.986278195,20.25545113,1.117857143,32.65601504,60.69304511,13.11616541,6.121804511,11.97142857,14.29350649,35550,1175049,0,0,0,-1,-1,3,0.045714286,0.1
40,229,2009,17,4,0.041800643,12.6481203,8.195676692,17.62161654,7.083082707,43.11090226,66.39041353,13.36616541,5.151879699,12.15064935,14.19480519,35550,1175049,0,0,0,-1,-1,3,0.080729167,0.1
41,230,2009,18,4,0.045751634,13.54774436,6.890789474,20.66315789,0.632142857,27.73496241,56.78157895,13.60676692,7.994360902,12.46233766,14.12857143,35550,1175049,0,0,0,-1,-1,3,0.041800643,0.1
42,231,2009,19,5,0.044897959,18.39473684,11.07744361,26.5768797,0.479511278,25.64285714,56.56541353,13.83139098,10.14586466,12.75194805,14.08051948,35550,1175049,0,0,0,-1,-1,3,0.045751634,0.1
43,232,2009,20,5,0.032608696,17.45883459,12.44210526,22.95,7.763533835,40.09774436,64.96522556,14.03703008,5.569924812,13.04155844,14.08181818,35550,1175049,0,0,0,-1,-1,3,0.044897959,0.1
44,233,2009,21,5,0.018248175,17.47556391,12.41973684,23.21766917,8.577631579,41.71240602,68.96522556,14.2193609,5.547180451,13.36753247,14.07402597,35550,1175049,0,0,0,-1,-1,3,0.032608696,0.1
45,234,2009,22,5,0.031468531,19.30037594,13.22631579,26.21823308,0.226503759,33.86842105,61.53778195,14.37725564,9.369736842,13.81558442,14.11168831,35550,1175049,0,0,0,-1,-1,3,0.018248175,0.1
46,235,2009,23,5,0.04845815,19.5962406,14.08007519,25.57518797,2.093609023,39.43796992,66.55977444,14.49868421,7.646992481,14.19090909,14.17532468,35550,1175049,0,0,0,-1,-1,3,0.031468531,0.1
47,236,2009,24,6,0.038461538,19.85357143,15.43458647,24.69830827,3.217105263,45.92105263,68.59830827,14.58364662,5.155263158,14.5987013,14.25194805,35550,1175049,0,0,0,-1,-1,3,0.04845815,0.1
48,237,2009,25,6,0.029661017,21.76906767,17.26390977,27.10770677,2.730827068,47.56390977,71.30285464,14.63120301,6.481578947,14.98051948,14.38571429,35550,1175049,0,0,0,-1,-1,3,0.038461538,0.1
49,238,2009,26,6,0.020325203,23.85150376,18.42819549,29.89567669,4.995112782,41.19548872,66.67556391,14.63327068,8.484774436,15.41558442,14.54285714,35550,1175049,0,0,0,-1,-1,3,0.029661017,0.1
50,239,2009,27,6,0.035856574,22.79489975,19.17011278,27.4906015,8.577067669,56.41541353,79.07953133,14.59530075,4.648684211,15.87922078,14.68441558,35550,1175049,0,0,0,-1,-1,3,0.020325203,0.1
